Character, UniqueWords
Gacy,42
Mailman,84
Barky,1
Chef's dad,76
Scout Leader,3
Lil Mr. Garrison,17
Garrison Actor,7
Jamie Oliver,20
Nicki,7
The kids,4
Theme,4
Stan, Kyle, Kenny,7
News Announcer,9
Bailey,49
Other campers,1
Little Chef,62
Jukebox,26
OC Member,4
Spectators,4
Water Tester,165
Mr. Fun,85
Vince,53
A Red Wing,4
Carlos Mencia,78
Mysterion, the Coon,6
BB Founder,124
Casey,143
Club Members,2
Host,347
Shopper 3,39
Shopper 4,41
Shopper 5,9
Shopper 6,34
Shopper 7,19
Shopper 8,4
Shopper 9,8
Popeye,6
Joe,374
Kindergartners,43
Mother Lion,5
Pilgrim,35
Female passenger,15
Iraqi Man 2,2
Iraqi Man 1,2
News Anchor,452
Female Staffer,12
Scott, Tyler,1
Teen Girl 1,36
Teen Girl 2,26
Anchor Man,77
Inductees,17
Dan Akawa,91
Black Man,13
Thomas,443
A singer, Goth Kids (singing),11
Van Gelder,49
Chairman,272
Frog King,186
Black Player,15
Mrs. Streibel,7
Deckhand,5
Cowboys,5
Paul,68
Doorman,39
Harvey Brown,102
Pinkerton,133
Mitch,127
Toothpaste,6
Taller man,10
Passer-by,4
Bloodrayne,21
Cruise Attendant,14
Guy with Long Hair,3
Tape,30
Craig's father,2
Red-Haired Woman,24
Collins,1
An Elderly Man,1
Joozian 2,90
Joozian 1,128
Wonder Woman,16
Redneck 9,9
Redneck 8,16
Kelly Menskin,1
Fireman,50
Redneck 1,6
Mr. Tenorman,38
Redneck 3,3
Zeus,30
Redneck 5,15
Redneck 4,9
Denver Goalie,5
Redneck 6,8
Lab Tech,19
Mall Hankey,42
Sally,154
Guy in Audience,2
Ferrari,7
Ostrich-baby,3
Executor,73
Tweek,520
Gelgamek Cardinal,42
Emcee,17
Chief Justice,115
Her crotch,49
Flannagan,27
Ginger Boy 2,17
Geoff Hamill,121
Paul Harris,50
American Female,10
Haman,9
Younger Daughter,6
Jenny's Mother,12
Road Warrior Queef,21
Mitt,46
Archangel,13
Group,60
Trainer 3,13
Trainer 1,49
Anchorwoman,13
Sixth Graders 2/3,1
Scoutmaster 1,16
Randy, Stan,8
Scoutmaster 2,27
Satan,795
Pharmacist,162
UAA Member 2,1
UAA Member 1,28
Matt Lauer,54
Colleague,3
Left Breast,17
Classmates,1
Diner 1,14
Ranger,40
Shopper 2,49
Squirt 1,8
The Wise One,63
Other Goths,1
Man In Middle,16
Vernon,33
Driver 3's Passenger,13
Stab,17
Diners,7
Brunet Boy,17
Spirit 2,31
Stan,5111
Geologist 1,10
Board Member,29
Steve Irwin,17
Chinese Commentator,110
A Boy,96
Christine,73
Purple Hare 2,5
Sawitsky,66
Male Crew 1,8
Person,81
Dr. Land,46
Jimbo, Ned,2
Akmarh,115
Breeder,90
Frat Boys,1
Secretary 1,9
All the kids,1
Dimitri,21
Female Anchor,24
FBI agent,6
Cornwallis,101
A few others,1
Motorcycle Driver,1
Revelers,6
Muhammad,4
Older Man,97
Mephesto Actor,13
Veteran Guard,125
Stockbroker,63
Ms. Choksondik,687
Ozzy,61
Jimbo,1525
Old Cap,144
Anchor Tom,188
Ninja 1,3
Posse,21
Ralph,22
Jerry,24
Brian,311
Johnny Knoxville,11
LSX Reporter,7
Agent Clark,77
Mr. Garrison,2437
Goateed man,16
Pianist,15
Jarvis,19
Fan wearing a blue star,5
Canadian PM,88
Junjun,29
Older Daughter,10
Female Agent 2,26
Female CPS Agent,16
Jordan,3
Jack,173
Israeli 2,8
Suicide 5,1
Suicide 4,1
Skeeter,434
Suicide 6,1
Suicide 1,5
Suicide 3,1
Suicide 2,1
KoRn,6
Dylan,28
Mr. Geiger,10
Lucas,39
Ted Koppel,114
Castro,5
Native American Chief,23
Players,2
Sparkly Vampire,32
Guy in Leather Jacket,2
Refugee Man 4,28
Mr. Jefferson,5
Jersey Man,22
Chocolate Rain Guy,60
Teen 2,32
All,139
Mrs. Garrsion,31
Glen Dumont,186
Teen 1,45
Mitch Conner,235
Luke,40
Smalls,115
Murderin' Murphy,37
John Garner,134
Willy,27
Brazil,2
Recruiter,27
Teen Boy 6,66
News Reporter,42
A Voice,86
Rich kid,23
Iggy's Ass,7
Gardener,114
Mr. Black,19
Eric Cartman,54
Smithy,65
Whistlin' Willy,19
Schroeder,2
Boombox,62
Drew,24
Indiglo Girls singer,8
Bat dad,21
Harris,136
Flight Attendant 3,6
Flight Attendant 2,3
Flight Attendant 1,7
Helen,4
Judge,343
Televangelist,14
Burns,45
Other Musicians,6
Spontaneous Bootay,3
Kids,206
Barbra Streisand,221
Pirate voice,32
Old Man,17
Mrs. Cotswolds,50
Photographer 1,3
Man 11,79
Man 10,89
Mrs. Miller,94
Man 12,48
Man 15,19
Man 14,38
Man 17,7
President,621
Brunet Man,10
Man 18,4
GRRM,227
Gary Sr,22
Some KKK members,1
Quint 4,4
Quint 5,12
Quint 2,49
Wayne D,55
Teen Boy,43
Quint 1,45
Les Claypool,35
Older sister,1
Wendy, Cartman,8
Bum 18,1
Bum 11,4
Bum 10,1
Bum 13,6
Bum 12,2
Bum 15,1
Bum 14,7
Bum 17,3
Bum 16,3
Sparky,3
Elton,177
Duncan,31
Head of Programming,83
Citizen,12
Det. Jarvis,72
George Lucas,97
Woman 2,169
Derek,28
Denver Fans,1
Tactical Officer,15
Biker 8,6
Neo 2,17
Yoko Ono,68
Gino,49
Other man,3
Clerk,492
Tweek, Craig,1
William,60
A ring tone,4
Glinda,27
Thomas McElroy,10
Woman 8,1
Twirler 2,25
Girl 1,91
Girl 2,45
Girl 3,25
SWAT Hansen,12
Twirler 4,9
Vanity,64
The Pope,10
The Minotaur,37
Blond,133
Head Adventurer,36
UAA 1,18
Blonde Girl,90
Worm,20
Bailiff,9
Minister of Sports,30
Jim Lehrer,66
The Girls,25
Prof. Thomas,127
Coucilman,13
Towelie,387
South Korea,2
Other fans,2
Mickey,225
Frakes,9
The Situation,20
Replacement Friend,2
Chad,70
Foofa,70
Bald Guy,19
Shoe Salesman,22
Girlfriend,43
Varashnu,18
Blond Cop,5
Director 10,6
Rick...,5
Programmer 5,8
Mr. Twig,56
Adolf,26
Zytar,41
Heidi, Millie,2
Romanian Protesters,4
A hippie,17
Member 6,8
Member 7,38
Member 4,1
Member 5,23
Male Staffer,50
Member 3,46
Red, Annie,1
The Guys,1
Voguing Skier,20
Student 1,38
Student 2,17
Student 3,1
Younger Man,7
Japanese Sailor,3
Lieutenant,6
WCB President,52
Martha Stewart,124
Kyle.,3
Clerk 3,64
Uncle,8
Chef Actor,35
Emperor Akihito,150
Clerk 4,67
Really Shocked Man,2
Rebecca,191
Henrietta,378
Bodyguard,3
Liane and Eric,13
Teen boy,17
Reenactor 4,1
Reenactor 2,1
Reenactor 3,1
Reenactor 1,1
Date,4
Edge,36
Gene,20
Waitress,129
Mr. Connolly,342
Denver Player,8
Blind Man,5
Patron,26
Matthew,4
Ganz,133
Craig,842
Kyles,1
Stephen Abootman,304
Fr. Maxi,19
Dr Adams,23
Singers (Widelife),31
Usher,41
Some Kids,1
Mr. Billings,144
Steve Nelson,14
Madonna,5
Cody,108
Caller 2,17
Kyle, Cartman,12
Ms. Williams,21
Fillmore and Friend,1
Shelly,524
Nick Jabs,16
Darth Chef,23
Crowd Members,1
Crip 1,2
Angels,4
Boy Slave,12
Otter 3,4
Otter 2,4
Joanie,2
Junichi,86
Peter Griffin,20
Taller Boy,36
Russel Crowe,19
Hammerhead Man,5
Billy Mays,150
Manager,342
Donald Rumsfeld,5
Band,7
Minister,379
Bea Arthur,2
Programmer 3,6
Donald T. Brown,13
Tall Crip,10
Paolo Captain,39
Brandon Carlile,101
Alarm,13
Confederates,2
Frederick,137
Lucy,37
Terrance,696
Tom Brady,5
Osama and the Taliban Soldiers,1
Rosemary,11
Girl,148
Stout Man,2
Woman With Brown Hair,52
Attorney,234
U.N. Leader,46
Linda Stotch,17
Charise,32
SP Cabbie,70
Head Concierge,9
Brad Paisley,26
Burger King Exec,12
Dr. Katz,61
China,22
Mr. Derp,54
Ghost 2,63
New Teacher,14
Pete,484
Redneck 2,4
Apple Man 2,3
Tim Burton,5
Stacy,3
Black Woman 2,7
Social Worker,65
Male Counselor,30
All three,8
Redneck 7,6
Dave,68
Anne,2
Damanta Unit 5,1
Fanciful Mayor,203
R. Wiley,55
Fifth Grader,65
Female Host,24
Other Vampires,2
Translator,28
Jakovasaur Kid 5,3
Others,22
Some men,5
Mick,63
Mrs. Weatherhead,61
Cartman's voice,4
Mr. Garrison Sr.,141
James Cameron,166
White Bailiff,7
Alien 2,24
Otter Leader,47
Alien 1,4
Frank Hammond,41
Announcer 2,74
Announcer 3,50
Announcer 1,97
al-Zawahri,41
Buddy 2,19
Buddy 1,7
Jakovasaur Boy,6
Expert 10,23
Husband,83
Mrs. Cartman,21
Crewman,7
Corporate Head,20
SWAT Officer 5,3
SWAT Officer 4,10
Jabs,72
Eric Roberts (as Kevin!),22
SWAT Officer 1,12
Agent,317
SWAT Officer 2,107
Louse 13,16
Louse 12,48
Louse 11,8
Louse 10,12
His Date,11
Weasel,5
Reveler 1,1
Reveler 2,7
Reveler 3,1
Reveler 4,1
Reveler 5,1
The Giant,8
Glen,77
Dean Howland,48
Male 2,23
Hippie,49
KFC Exec,43
Another fan,1
David Lee Roth,17
A cat,1
Denver Guard,7
A fan,3
Agent 4,40
Agent 5,21
Agent 6,44
Agent 7,29
PeTA Man,3
Agent 1,132
Agent 2,139
Agent 3,41
Butler,175
Man 25,4
Man 26,4
Man 27,4
Agent 8,20
Agent 9,10
Man 22,4
Profile 3,1
Worker 2,135
Worker 3,29
Worker 1,155
Somebody,3
Worker 4,30
Walsky,42
Profile 1,9
The KKK,4
The Nerds,1
Mrs. Farnickle,70
Police Officer 2,25
Kyle, Kenny,4
Bebe,658
Angelina Jolie,2
Inductee,1
Tom Davis,57
Chris,659
Assistant,193
Mepehsto,13
Pilgrim Girl,1
Soldier,130
Mechanic,274
Ride operator,8
TV Announcer,75
Lead Scientist,148
Veronica,104
Michael Chertoff,338
Peter,322
Controller 2,24
Aide 2,203
Obese Man,2
DogPoo,39
Man with Mustache,7
British Cardinal,50
Laura,104
Britain,40
Karen,121
Computer,48
Wolf Blitzer,35
Camp Warden,110
Turd Sandwich,58
Charlie Sheen,18
Mrs. Polk,23
Lesbian 11,2
Convict 2,15
Miller,44
The three adults,1
Both Cartmans,4
Lorraine,6
Stormtrooper,1
Miner 2,23
Congregants,7
Yolanda,14
Romanian Official,50
Fiancée,82
Miner 3,34
Black Member,11
Tooth Decay,9
CIA Leader 2,64
The Men,3
Researcher 2,14
Researcher 3,3
Mr. Thompson,142
Front Desk Officer,24
Hillary,93
Cajun Shrimper,47
Patty,16
New kid,1
Q Money,53
Cous-Cous,12
Adams,77
KIT-9,33
Elvis' Hologram,17
CD,11
The group,5
Fisherman,21
Mr. Needlebaum,17
Stuart,573
Mr. Testaburger,111
Voice,199
Janitor,73
Secretary,104
Poodle,1
Cowlick Vamp,21
Fillmore,31
Steamy Nicks,4
Bald Convict,18
Hares,17
Elin,56
Slim Reporter,28
Hillary Clinton,38
Duncan Everton,18
Persian,3
Trent,143
FC Fat Player,7
Time Child,166
Lead Ginger,39
Hockey Player,13
Both,78
Horatio,45
Grandma Obama,9
Spokesman,87
Bush,269
Marklar Leader,46
Accordionist,4
All Gingers,1
ATF lead,148
Jacqueline,27
Jeffrey,96
Narrator,1483
Elders,8
Individual in crowd,5
Keenan,161
Terrance/Phillip,7
Pam,13
Fat Abbot,99
Scout,23
The Ladies,1
Ike,496
Male Guest,6
Man in Crowd,2
Polly Prissy Pants,24
Man 2 in Crowd,3
Man in Shorts,20
Woman 1,253
Danish Man,32
Woman 3,74
Señor Lopez,25
Woman 5,14
Woman 4,60
Woman 7,8
Woman 6,5
Fat Girl,28
VJ,26
Steve,392
Denver Team,1
Hollis,146
EFSM President,64
Congressman 1, Cartman,8
UAL Leader,7
ManBearPig,5
Garrison,191
Gates,172
Officer 10,13
Cheetara,2
Black Bitch,33
Mrs, Circlovich,10
Gavin,54
PewDiePie,126
Black kid,7
Male hippie,7
Bridon,144
Driver,409
Delivery Man,19
Lenora,3
Press Coordinator,14
UAL 3,23
Joanie Cunningham,2
Sarah,96
Other men,10
Dr. Neeland,89
Ghandi,10
A crewman,2
AARP member 3,3
AARP member 2,1
AARP member 1,4
Randy Newman,72
Trainer 2,6
Hotline Man,30
Brobee,10
Sheriff,13
Vivian,14
Lollipop King,66
Luke Skywalker,96
Boss,73
Crewman 3,27
Squirrely,104
A Few People,1
Robert Smith,47
Thomas, Kyle,2
Newt,59
Krishna,74
Santa,324
Falcon,21
Gabriel,77
Athlete,14
Thumper,148
Alice,4
Subway Representative,65
Taylor,25
Officer 2,246
Wing,12
Seniors,13
A Girl,28
Miss Stevens,243
P. Sanchez,6
The Wizard,18
Barker,164
Girls' Table,30
Adams County,3
Kindergoth,22
Red Wings Coach,3
Steven,440
Operator,236
Stan and Kyle,15
Ranger Pete,56
Officer 4,78
Smoker,11
Prince,141
Badger,21
Stan, Kyle, Cartman, Kenny,3
Sea Otters,2
Alien 3,1
Ensign,5
Campers,25
Man on Porto Potty,32
A Santa,33
Game Voice,7
Followers,14
Aussie Crewman,5
Bulter,7
Bar Patron,2
Lambtor,15
Field Reporter,864
Jenny, Mark,1
Jim Brown-ish,81
Det. Yates,117
An Anchorman,17
Lamont,204
Right Breast,20
Male Host,42
Ho,5
Singers,345
Gandalf,42
Barkeep,106
Lamond,198
Blue Team,2
Driver 2,62
Elderly Man 10,3
Elderly Man 11,6
Wall-Mart,83
Stewie,8
Donald Trump,1
Mr Garrison,4
Lesbians,5
Man 20,4
Mackey,224
Man 32,4
Satan/Chris,1
Dr. Hallis,180
Amber,24
Laura Tucker,16
Jimmie Johnson,34
Butters,3639
Studio Audience,7
Mr. Hat 2,7
Mr. Hat 1,7
Reporter,1344
Mrs. Gueermo,53
Both sides,1
Jonesy,83
Mr. Slave,282
Conan O'Brien,56
Female Gambler 2,9
Registrar,29
Female Gambler 1,6
Firkle,98
Guest Speaker,36
Dr. Lott,135
Somali 1,4
Fed,8
Somali 2,7
Uriel,56
Truck Driver,155
The Ramseys,1
Mercedes,180
The Jonas Brothers,7
Kyle Schwartz,147
Martha,196
Apple Tech,9
Pi Pi,206
Townsfolk,108
Al Roker,45
Moroccan Cardinal,20
Cabbie,19
McCormick Parents,1
African-American,59
Token's Mother,23
Both men,1
Leonard Maltin,210
Bronco 2,6
Another addict,3
Sarah Valmer,6
Elvin,10
Kyle, Butters,1
Passengers,8
Token's Father,3
The men,4
Barnaby Jones,20
Nick Nolte,43
Baker 2,5
Quincy,94
Lead Biker,249
Other Cardinals,2
Left,25
Mrs. Tweak,166
Shopper,10
Researcher,189
Big-Eared Boy,18
Ms. Havisham,211
Morpheus,204
Guests,11
Tony,79
Meredith Vieira,18
Enrique,1
Michael Deets,105
Peter Panda,42
Jason, Craig, Tweek, Token,3
George Zimmerman,73
Other boys,5
Trooper,5
Josh,342
DJ AM,34
Carson,41
Sia,11
Conner,49
Sid,63
Child singers,11
Mrs. Garrison Sr.,66
Future Butters,13
Sixth Grader 6,11
Sixth Grader 5,10
Guy Fieri,31
Sixth Grader 3,15
Sixth Grader 2,61
Squirrelly Squirrel,58
Ginger 2,19
The other men,1
Sixth Grader 8,1
Justin Bieber,10
The Males,24
Advisor,21
Snetzl,120
Ben Roethlisberger,3
Greeley Man,3
Japanese Man 2,6
Charlie Brown,11
Tooth,13
Reenactors,4
Beelzeboot,38
Bodybuilder,9
With boys,21
Natsako Semu,6
Jeffrey Maynard,69
Japanese Man 1,6
Jakovasaur,53
Tyler Perry,72
Lead Agent,59
Quint #2,8
Kevin Jonas,1
Café 180 Patron,11
Bertha,15
John Ramsey,82
Chris/Saddam,1
Nurse Goodly,16
Bono,148
Raisins Girls,4
Emily,12
Center 2,11
A Guest,8
Sky-fi Reporter,54
Townsperson 3,1
Top Official,57
Brandy's Mom,14
Mrs. Testaburger,90
Chris Crocker,15
Short Reporter,41
One of the Cubs,1
Broncos,2
Marsha,26
Commentator 1,61
Nadia,13
Latino Protesters,5
Brunette 3,6
A Fan,5
Owner,69
Dad,233
Jinbo,17
Tourist,6
Frans,170
Exec. 1,51
Dan,132
Exec. 3,22
Exec. 4,4
Border Guard,6
Monitor Man,2
Grandpa,247
The Males (Randy),32
Boys, Hankeys,5
Road Workers,8
Cartmen,4
Biker 12,5
Biker 13,16
Mr. Gueermo,226
Biker 11,8
Biker 14,5
Biker 15,7
Radio Host,43
DC Crewman,5
Male Nurse,33
Darryl,11
Top Official 2,28
Stan, Kyle, Cartman,20
Biggie Smalls,6
Voice Notification,31
ISIS Spokesman,14
Female Aide,8
TAPS,1
Kale,38
Squirt 2,23
Russell Crowe,395
Paparazzo,13
Tad,165
Randy,3756
Lead Screener,62
Farmer Carl,59
Suzanne,11
Kevin,215
Singer (background singers),106
Research Leader,205
Rex,1
Other Bikers,8
Viewer 3,6
Viewer 1,7
Jay Leno,57
Rep,57
M. C.,32
Nellie,64
Stephen,1107
Rick,368
The Kardashians,1
Butters' profile,8
Redneck 13,62
Red,284
ET Reporter,34
Head,77
Redneck 12,3
Sir 1,11
Anchor 2,3
Timmy,148
Redneck 14,5
Patrick Swayze,26
Fangirls,2
Jerry Sanders,40
Alone,15
Brent Musberger,8
Francis,25
Jason Voorhees,18
Elder 3,15
Elder 2,68
Elder 1,107
Baahir,23
Christina Naylon,43
Hopkins,40
Mrs. Biggle,88
Tweek's Mom,47
Tupac's Hologram,19
Number 24,14
FOX President,189
Other classmates,9
Paramedic,49
Amanda,61
Evan Stone,3
Michael Jackson,29
Denver Pitcher,24
Pirate 8,7
Dean,330
Mr. Jabs,66
MC,223
Marklar,53
Pirate 3,12
Pirate 2,21
Pirate 1,17
Head Baker,26
Pirate 7,6
Pirate 6,14
Pirate 5,33
Pirate 4,39
Travis,237
Ballmer,122
John Edward,238
Gerald, Sheila,3
Waiter,72
Assemblyman 4,16
Old-Timer,17
Bronco 1,6
EOD Leader,34
Assemblyman 3,7
Assemblyman 2,24
Agent Marx,28
Ex-Convict,71
Black Vamp, Mike, and Pete,2
The Broflovskis' Answering Machine,10
Member,10
Old Woman 2,3
Bill Cosby,93
Brett Favre,9
Specialist,100
Customers,2
Australia,24
Chief Running Water,92
Dispatcher 2,9
A Protester,2
Suzette,27
Tiger,112
Whistle,2
Radio Talk Show Host,27
Jill,16
Tammy,199
Inmates,1
TCO Reporter,23
Sally Struthers,94
The Adults,7
Congressman 3,23
Congressman 2,38
Congressman 1,15
Hippie 3,26
Hippie 2,36
Hippie 1,24
Melvins,7
Ben,131
Hippie 6,6
Hippie 5,10
Hippie 4,8
Black boy,1
Dr. Doctor,770
Indy,24
Black Bouncer,7
All the boys,6
Another kid,2
Jimmy,1663
Subway Rep 2,26
Subway Rep 3,18
Louse 9,22
Louse 8,5
Louse 7,27
Louse 6,3
Louse 5,9
Louse 4,6
Dr. Carroll,100
Louse 2,5
Louse 1,4
Magician,16
Joseph Smith,126
Gary Nelson,47
Family,1
Priest 3,5
Caller 1,12
Caller 3,29
Lois,32
Kurt Loder,116
Alien Man,109
Teabag,192
Randy Singing,10
Sharon,1499
Heather,39
Monkey,2
David Carradine,15
Pirate Voice,1
Old Woman,19
Medic,85
Meat Loaf,30
Dr. Oz,110
Queen Spider,15
Ma'am,15
Copilot,39
Robin Hood,21
Rabbi 2,47
Rabbi 1,153
Blonde PeTA Woman,22
Kobe Bryant,40
Man in crowd,1
Rabbi 5,25
Rabbi 4,14
Paul Shaffer,2
Choir Teacher,278
Putin,66
Male Psychic 1,37
Male Psychic 2,25
Male Sailor 1,1
Hotline Voice,85
Male Sailor 2,1
Chief David,125
Tele's Owner,37
Blond Knight,18
Gail,2
Mr. Appleby,25
Secure group,1
Stan, Kenny, Kyle,3
Schlomo,22
Network Anchor,46
Annie,68
Ninja 2,3
Natalie,59
Bill O'Reilly,79
Scott Tenorman,147
Blonde Boy,1
Rockety Rocket,18
The class,3
Paparazzo 2,5
Chief Stevens,46
Patrons,8
Cpt. Gabriel,59
Ben Rothlisberger,8
Martin,43
Nancy Kerrigan,1
Anthropologist,84
Fat Boy,25
Captain Paul Watson,4
Stan/Kenny/ Cartman,11
Red Cross Dude,36
Expert 9,167
Kid 2,48
Yo Gabba Gabba,1
Hard Candy,6
Frat Boy 3,19
Frat Boy 2,1
Frat Boy 1,4
Teen Girl,61
Leslie,187
Sparrow Prince,79
Selena Gomez,15
Kanye,431
Katie,87
Agent Sharp,28
The rest of the boys,1
Farmer 2,18
German 2,3
The Avs,3
Jay,8
John Cena,24
Gene Siskel,2
Sidney Poitier,43
Simon,5
Jimbo Kern,5
DC Captain,25
Show Announcer,10
Cartman's Good Side,18
Elderly man,21
Man In Yellow Jacket,5
Referee,97
Mr. Leon,2
Lead Soldier,10
Mrs. Harris,22
Record Executive,258
Regis,43
A counselor,9
KKK Members,10
Damien,150
Man With No Limbs,30
Snarf,42
NC 9 Reporter,68
Amir,28
Man 3,278
Mrs.Tucker,6
Female Nurse,5
Towel,7
Mr. Valmer,26
Kyle,5100
Customer 2,16
Real Mackey,16
President Hirohito,153
Gordon,45
Roma,38
Board Rep 2,25
Board Rep 1,30
Suicide 7,4
New Kenny,19
Matthew McConaughey,33
Tow Truck Driver,2
Soccer Captain,8
Mr. Evans,187
Elderly Woman,114
Mormons,18
Coordinator,114
Mint-Berry Crunch,307
Blonde Russian,16
Kenya,5
HC Driver 2,1
HC Driver 3,11
HC Driver 4,1
HC Driver 5,10
HC Driver 6,26
HC Driver 7,35
Marilyn Manson,9
Resident 13,4
Japanese Delegate,4
Announcer,2067
Resident 14,4
Lab Tech 3,8
Lab Tech 2,6
Dude,46
Little Girl,29
SWAT Officer,5
Caroline,27
Dr. Biber,247
Janet Reno,108
Spielberg,77
Leeroy,21
Pocket,296
UAL 2,13
UAL 1,20
Salon Girl,22
Gerald, Kyle,12
Officer 9,5
Girl 2's Father,22
A Teen Boy,13
A bodyguard,17
Mr. Brooks,32
Felipe,10
HotForBoys219,45
Head Scoutmaster,87
Geologist 2,38
Small Group,7
Token, Craig,1
Enrique Iglesias,7
Vampir,176
Ms. Turnod,37
Mitch Harris,15
Ugly Bob,206
Elder,123
Formena,5
Comedian,93
Father Maxi,249
Installer,27
Eric,13
Mr. Williams,3
Teen Boy 4,1
Teen Boy 5,12
Squirt leader,223
Teen Boy 7,4
Teen Boy 1,11
Teen Boy 2,22
Teen Boy 3,20
Two Girls,2
Expert 11,6
Teen Boy 8,13
Dr. Adams,265
Kelly,204
Yao,43
Pilgrim King,71
Kyle/Cartman,1
Chef, Veronica,8
The others,1
Stan, Jesus,2
Mr. Allens,41
Pirate,3
Creature,13
ATF agent,54
Mr. Hat,242
Kurt's hologram,37
Grant,44
Randy Marsh,2
Elton John,25
Clerk 1,42
Queen Elizabeth II,13
Matt Stone,17
The Lords,12
Carlos,2
Ride Operator,7
The Other Kids,1
Crowd outside,19
Lead Referee,11
Bundy,120
Dr. Mephesto,207
Marsh Family,6
Britney,67
Blond Officer,10
Factory workers,24
Patrick,23
A Nurse,13
Miles,214
SNN Anchor,111
