Character, UniqueWords
Jakovasaur Kid 3,4
Mrs. Sanders,5
Jakovasaur Kid 1,3
Rumsfeld,9
Snoop Dogg,95
Jakovasaur Kid 4,2
Canadian Paparazzo,31
Grandpa Marvin,8
Elderly Lady,7
Barbrady,575
Gray Hare,4
FC Batter 1,2
Teresa,186
Lead Agent Collins,22
Mr. Triscotti,32
Passenger 3,23
Passenger 2,11
Passenger 1,35
HC Driver 1,1
Passenger 4,7
Male Activist,4
Peterson,56
Butter's Voice,7
Black Bailiff,2
Mrs. Hakeem,23
FC Team,4
Best Buy President,23
DJ,225
Paris Hilton,15
FC Catcher,5
Tom Snyder,64
DA,94
Cipac,8
Angela Merkel,10
Stage Hand,21
Ginger Girl,3
Blond Man,102
Blood 6,3
Blood 5,6
Blood 4,18
Blood 3,5
Blood 2,8
Blood 1,6
Phl,13
Murphy,283
Emo Boy 1,29
Congregation,44
OC Girl,13
Annoncer,51
McCain,169
Male passenger,8
Dr. Chinstrap,323
Cartman and the Gingers,20
Tank Driver,14
Stephen Tamil,33
Motorcyclist,1
Preacher,11
Mickey Mouse,106
Head of Public Safety,38
Boy Sledders,1
Persian 2,53
Don King,42
Trainer,90
Pueblo Team,2
Chet,82
Brunette,108
Cher,15
Tron Soldier,5
Domino,3
Female director 2,8
Critters,61
Chef,1921
The Freaks,6
SNN reporter,46
Lil Kathie Lee,61
Farrah Fawcett,7
Principal,58
Other priests,3
Iggy,62
Older brother,4
White Official,33
Treasurer 1,40
Treasurer 2,32
Treasurer 3,26
Character,1
James Taylor,17
Mr. Hammerhead,2
Another Mayor,50
Redneck 18,1
Roland,5
Jared Fogle,15
Redneck 11,22
Border Officer 1,22
Border Officer 2,146
Border Officer 3,9
Border Officer 4,22
Border Officer 5,3
Redneck 17,4
Redneck 16,1
Janet,332
Woman,690
Robert Redford,109
Oragne cat,2
Patron 9,7
Saddam,386
McGee-zax,110
Kansas,24
Plex,101
Paratrooper,4
Asian Reporter,43
Dispatcher 1,25
Purry,1
Mime,108
Roostor,3
Mimi,17
James Hetfield,14
Mrs. Hollis,20
Occupant,7
General Disarray,23
Mr. Hollis,52
Punk,2
Creature from the Black Lagoon,15
Chef and Principle Victoria,1
Damla,14
FBI Agents,1
Townsman,93
Older Girl,1
Librarian,53
Eager Man,3
Otters,2
Emo Boy,8
UAL Aide,15
Executives,1
Swiss Delegate,32
Right,8
Angel,22
Resident 10,7
Resident 11,9
Resident 12,16
Joe Strummer,34
Carrot Ass,30
Resident 15,13
Crowd Member,1
Male Anchor,13
Geoff,45
Richie,22
Volunteer 2,51
Collector,16
Pit Crewman,23
The Kids of South Park Elementary,73
Butt Out! Man 3,2
Butt Out! Man 2,12
Butt Out! Man 1,17
Rick James,21
Jessica's Mom,3
Patricia,12
Crew,2
Alarm: Alert.,11
Marvin,396
McCain, Obama,2
Second Baseman,7
Japanese Pilot,1
Sniper,1
Bobo,50
Male Aide,5
CNN Reporter,67
City Wok Owner,43
Police Chief,77
Kelly Rutherfordmenskin,1
A singer,6
Members,16
Thad,23
Figure 1,26
Instructor,115
Siimon,4
Crab People,2
Benjamin,2
Harrison Moore,128
Xerxes,83
Johnson,76
New Yorker 1,1
Barkley,18
Gingers,41
DC Crew,3
Blonde Nurse,10
Blonde Protester,11
Profile Stan Marsh,66
Nichole,157
Landlord,11
Fingerbang,29
Sgt. Yates,370
Hansen,200
Rescuer,13
Constance,9
Canadian 3,1
Canadian 2,4
Stephen, Butters,8
Headless Horseman,7
Someone in the crowd,1
P.F. Pityef,185
Alien,241
Chris Swollenballs,82
Black Officer,11
Elderly Driver,32
Band Member 1,37
Band Member 2,22
Band Member 3,5
Death,4
Guest,39
Skyler,307
Jessie,28
Netzel,157
Bob Dole,24
Maitre D,53
Electronic Head,15
Pearl,184
Confederate 2,14
Alex Spanos,16
Soldier 6,15
Paul Stanley,39
Old Folks,2
Elderly Tree Hugger,5
Leader,206
Riley,45
Skier,2
Boy in Green Shirt,64
Kyle's Side,1
Assembly,1
Man in briefs,8
Dream Estella,9
Canadian 1,7
Protestor #5,12
Protestor #4,2
Protestor #3,30
Protestor #2,8
Protestor #1,7
Voice-over,117
Dentist,81
Boat Ride Singers,21
Reporters,4
Dora,14
Great-Great-Grampa,56
Soldier 7,2
Princess,31
Gnomes,7
Anchorman 2,19
Angel 12,6
Angel 10,4
Angel 11,10
Madman,17
Mosquito,155
Phil,239
Together,51
Muslim 2,12
Scientist 1,86
Kurt Russell,91
Scientist 3,7
Scientist 2,86
Scientist 5,6
Scientist 4,4
The Clergy,8
Emo Girl,17
Chris Martin,79
Numa Numa,7
Performer,2
Chinese Officer,3
Detective 3,33
Gary Condit,44
Homeless Advisor,158
Commander,269
McDonald's Exec,122
A Terrorist,1
Fireman 1,43
Blond Girl,21
Fireman 3,3
Fireman 2,67
MJ Hologram,45
Blond man,14
Melissa,12
Obese Woman,29
Ethiopian,7
New Director,8
A Congressman,16
Peters,6
Grey Hat,46
Sgt. Boll,17
A Melvin,11
Linda,738
Voice 1,5
Voice 2,7
Groupie,13
Bear cub,1
Reveler,2
Celine Dion,102
Trainee Barbrady,17
Muno,16
Blond Trekker,25
Danish Woman,5
Protesters,22
Nicole, Lola, Annie,1
Stripper,16
Choir Girl,34
Soldier 3,60
Jakovasaurs,3
Grizzled Man,3
Cowboy 2,8
Carol,77
Man On Crutches,3
Princess Diana,9
Benedict XVI,21
Injured Man,10
Ed Sullivan,24
Shopper 1,41
Babrady,59
Leroy,32
Spirit,43
Other Men,8
The Boy,5
Police Chief Stevens,36
Lao Tse,21
Soldier 2,62
Sixth Grader 4,19
Female Agent,28
Director 6,14
DVDA,13
Suitcase,7
Sixth Grader 1,130
Female fan,4
Aide,198
Chef's mom,46
Storm Trooper,12
Marksman,12
Rancher Bob,173
Pizza Man,9
Rabbity Rabbit,4
Stan Marsh,14
Kids in Class,2
Center Gnome,4
Sawitzky,37
An Agent,3
Man 16,18
Judge Moses,63
Tom Vilsack,140
Man 19,4
Mexicans,7
Daniel,54
Missy,4
Sixth Grader 9,10
Crab Leader,40
Aussie,172
Nurse Gollum,198
Critter,7
UAL Member 1,1
Geraldo,139
Paparazzo 9,26
Paparazzo 8,14
Big Stan,24
A Bishop,4
Mrs. Applegate,2
Mr. Weatherhead,238
Female Sailor,2
Paparazzo 3,3
Lt. Nelson,64
Paparazzo 5,2
Paparazzo 7,10
Other Women,5
Toss-a-Ball Operator,9
Guy 1,1
Guy 2,1
REO Speedwagon,28
Legless Boy,5
Analyst,11
Steve Forbes,13
President Clinton,78
With Demons,3
Student,96
Kyle 1,111
Mona,23
Phillip,613
Grandma,101
Mrs. Brown,16
Monk,2
Soldier 4,36
Other students,2
Token,725
Other kids,10
Redneck 28,5
Redneck 29,4
Mortician,45
Redneck 24,4
Redneck 25,4
Redneck 26,4
Redneck 27,3
Redneck 20,8
Redneck 21,3
Redneck 22,9
Quint 3,52
Shari,20
Producer,439
Elmo,32
Pig,12
Player 70,21
Fat Priest,9
Carlos Ramirez,56
Brunette Nurse,8
Pip,569
Frothgar,47
Man,679
Pueblo Dad,5
Cartman's Bad Side,10
Neo,32
Cartman (Butters),32
Bearded man,6
Marc,29
Gerald,1434
Ned,286
Lou,73
Elderly Priest,50
Mark,468
Backup Singers,2
Master,66
Ellen,48
Hankey Elf,18
Employee,23
Car Salesman,5
Mary,70
Boy Announcer,14
Romper Stomper,190
Gretchen,17
Lady Member 2,37
Men,43
Pharaoh,81
Ticket 2974 Holder,4
Tough Guy 2,15
Guy in flat top,2
The Women,1
New Cartman,138
Earl,8
Lawyer,216
Kenny's Mom,52
Stranger,17
Kenny G,16
Chef (falsetto),54
John Elway,26
EVGames Clerk,12
Brunet Member,4
Trey Parker,42
Jeff VanVonderen,94
Hippies and Kyle,3
Wrestler,11
A Teacher,18
Protester 7,3
Protester 6,1
Protester 5,1
Jimmy Buffett,47
Indian 1,14
Protester 2,13
Protester 1,20
Teller,129
Spiky Vamp,6
Mouse,18
French Delegate,41
Tall Goth,106
Millionaires,2
Biker 9,1
Scientist,143
Younger Boy,34
Blaine,166
Corey,198
Biker 2,61
Biker 3,5
Biker 4,13
Biker 5,9
Biker 6,66
Biker 7,16
Music Instructor,52
Larson,48
Woodland Critters,25
Ms. Sanders,41
War Protester,16
Cowboy 1,4
Senator 4,12
Senator 3,27
Senator 2,41
Senator 1,26
Townsman 8,4
Townsman 7,12
Townsman 6,27
Townsman 5,11
Townsman 4,9
Townsman 3,9
Townsman 2,29
Townsman 1,23
Postmaster,57
Quadraplegic Swiss man,37
Conductor,71
Mrs. Garthunk,158
Bar Patrons,2
Police Officer,43
Officer Barbrady,603
Cable Guy,115
King Claudius,23
GS-401,76
The Ramseys and Condit,3
Morgan Freeman,188
Melvin 4,1
Melvin 1,6
Melvin 3,9
Obama,454
Singer,452
Winner,2
Sphinx,164
Cowboy,24
Creamy Goodness,110
Bum,27
Penis, Mouse,5
Mormon 4,15
Mormon 5,3
Mormon 6,20
AA Speaker,12
Mormon 1,49
Mormon 2,52
Harry,149
The Dragon,21
Specialist 4,13
Specialist 3,42
Guide,122
Specialist 1,74
Jersey Woman,7
Jim Rome,172
House,33
Afghan Boys,33
Whoopi,19
Tough Boy 1,21
Tough Boy 2,18
Joseph,1
Lion Cub 2,37
Lion Cub 3,47
Lion Cub 1,36
Mover,3
Romanian official,23
Filmore*,1
Kids, Chef,3
Cupid Me,58
Cinderella,24
Layman,33
Mr. Hankey, Cornwallis,16
Proprietor,7
Staffer,20
Protester,24
Skynard Man,4
Tommy and His Dad,2
Male Member,1
Coach Connors,146
Woman Supporter 2,4
Woman Supporter 1,7
Jake,10
Brother Anderson,10
Broderick,29
Kevin Donahue's profile,7
Angel 4,12
Angel 5,26
Angel 6,5
Angel 7,4
Barber,11
Angel 1,3
Angel 2,3
Francis Ford Coppola,14
Lead tech,82
SNN anchor,13
Palin,127
Mysterion,492
Scott,661
Lady,9
Mr. Kitty,1
A Council Member,3
Fieldy,95
Alex,54
Vladimir,91
Hemorrhoid,2
Fields,6
Mrs. Donovan,50
The Marshes' Answering Machine,13
Alien Carl,7
Supporter,3
Crab Solo,5
Uncle Howard,12
The Nuggets,1
Guard 2,154
The New Lyrics,60
Police Officer 1,2
Adam Sandler,59
Strummer,17
The Phantom,6
Executive,21
Det. Harris,258
Springer,8
Player 6,8
Therapist,196
Player 3,9
Player 2,2
Player 1,22
Pablo,58
Weird Hat Guy,6
Fifth Graders,1
Other mothers,6
Record Producer,173
News 4 Reporter,126
Network President,136
Boy 5,20
Boy 4,43
Boy 3,50
Boy 2,134
Boy 1,198
Jai,24
Father,207
Center 1,2
French Captain,69
Tracy,45
Commentator 2,41
ALF Member,7
Russell Crowe (off-screen),5
Parents,9
Tan Jovi,19
Bebe, New Kid,1
Moses,134
Sorcerer,88
Fat Plumber,9
Nelly,135
Man with Terrible Skin Condition,120
Kathie Lee,36
Train Conductor,32
Phlllip,2
Bob Thomas,90
Another Man,2
Nut Gobbler,96
Line Ride Operator,27
Lil Kim,4
Richards,95
Moviegoer,4
Gas Mask PeTA Member,14
Jim,18
Hancock,28
Nagix,77
Mr. Cotswolds,194
Av 1,29
A Hall Monitor,10
Security Agent,106
Ghost,18
Twirler 3,9
Tree hugger,13
Twirler 1,19
Mr. Takiyama,128
BHI President,80
Mr Mackey,16
Gary Coleman,4
Class,105
George Bailey,38
Richard Tweek,9
Soldiers,15
Randy's Boss,9
Mrs. Garrison,1077
Chase,39
Former Coach,6
Paula Deen,25
Café Monet diner,7
Disney Exec 2,15
Disney Exec 3,14
Lars Ulrich,20
Disney Exec 1,16
Mr. Ose,110
A caller,23
Redneck 30,1
Detective 4,12
Fire Captain,103
Secure Group,1
Stan, Kyle, Blanket,1
All Celebrities,1
Brunette 2,2
Patient,5
Anderson Cooper,61
Pirate Ghost cutout,1
Head Agent,7
Worker,147
A Diner,7
Audience Member,5
Tuong,212
Girl in O T-shirt,9
Dick Dastardly,4
Profile 6,9
Profile 4,1
Profile 5,8
Profile 2,9
Gnome,74
Pimp,44
Susan,71
Charlie,122
Sylvester,1
Finland,35
Michelle Obama,81
Mike, Michael, and Pete,2
President Calderón,55
Someone,13
The Crew,2
Boy In The Red Shirt,50
Voice-Over,65
Lead Knight,63
Mr. Varcas,47
Sledders,1
Female director,16
Tron Guy,47
Girl In Pink,5
Loa Tse,3
Hat McCollough,27
Retarded Fish,7
Alec Baldwin,108
Stan, Kyle, Butters, Token,1
Jared,306
Rebecca Turnod,93
Exec. 2,65
Osric,10
Congressmen,7
Devil,10
Man in Wheelchair,61
Tom Cruise,325
Stan, Kyle,81
The Broflovskis,7
Cantor,12
Cardinal,28
Tom,659
Kindergartner,13
Crips,6
Jada Pinkett Smith,25
Officer Harris,7
P-Train,40
Driver 1,34
HBC Reporter,29
Blonde Judge,3
Driver 4,7
Driver 5,8
Niles,302
Townswoman 2,2
Townswoman 1,2
Randy, Gerald,1
The Queer Eye Guys,2
Receptionist 2,23
CIA Vice Head,52
Warden,118
Connor,2
Russian,66
Mr. Nelson,205
SS Agent 2,7
Other girls,1
Broloff,182
Mr. Tweek,10
Nibblet,12
DC Crewmen,4
General Tso,87
American,3
Roger,196
Girl in Puppy T-shirt,25
Clinton,91
Frank Sinatra,26
Runs With Premise,63
A Politician,2
Sheila,1188
Otter Soldier,4
Greenfield,185
Otis,31
Mr. Waters,19
President Wulff,111
Other Sixth Graders,2
A Sign-Holder,3
SP Team,6
Jakartha,54
Hitler,21
Satan and Males,1
Jersey People,6
Hare 1,2
Hare 2,2
Hare 3,5
Hare 4,2
Hare 5,8
Hare 6,5
Hare 7,6
Shoppers,15
Mr. Farnickle,8
Speaker,172
Mrs. Stevens,90
Thompson,21
Volunteer 4,7
Teens,1
Homeowner,90
Sgt. Masters,16
Cruise, Travolta,20
Sussan,9
M.C,10
Al,48
Gary Sr.,139
Chubby Official,82
Frances,26
Female Reporter,49
AARP member,27
Clerk 2,68
Dougie,237
Goodly,24
George Burns,22
Lead Vampire,23
Ishmael,1
Don,54
Kip's Mom,55
Her Blossom,7
Man 31,4
Union Reenactors,1
Raisins Girl,24
Aaron Brown,133
Bob Summers,44
Tom Hanks,28
Mediator,71
Bellboy,14
Ohrlich,83
Anchorman,403
Lisa,152
Residents,8
Emir,86
Betsy MacIntosh,54
Tugger,11
PA System,26
Everyone,34
Demon 2,12
Bearded Man,56
Man 30,4
Stevens,10
Dick Cheney,6
Priest 2,29
Bushy Eyebrows Boy,9
Spectator 3,1
Player,97
Candice,43
Chef (recording),5
Tech,6
Denver Player 2,12
Denver Player 3,7
Denver Player 4,10
Elder Harris,52
Evil Cartman,162
News Anchor 2,58
Gerald and Sheila,1
Female Detective,30
Girl with Brown Coat,3
Geddy Lee,19
Mr. Hart,25
The King,9
Male voice,4
Redhead,24
Trinity,15
Stan, Kyle, Butters,1
Photographer 3,2
Sgt. Larsen,14
Evil Stan,39
Emmanuel Lewis,40
Freddy Krueger,79
The other boys,7
ESPN Host,126
Volunteer 3,36
Mrs. Landis,31
Kid's Mom,17
Police Commissioner,9
Lola, Jenny, Red, and Wendy,1
Pilot,155
Larsen,71
Female Voice,61
Cheerleader 2,4
Assemblywoman 1,24
Mingie,321
Assemblywoman 2,41
Dr. Spookalot,17
Michael,876
Female voice,1
Officers,4
Police drone,16
Bab,8
Banker,8
Heidi's Mom,12
The Boys,121
Astronaut 2,23
Skid Row,28
Astronaut 1,31
Iron Maiden,4
Indian Chief,43
Terrorists,1
Aliens,7
Blond Russian,21
Michael Dorn,57
A few people,1
Camp Soldier,24
The Streible Girls,1
An Aged Voice,1
Canadian Man,16
Middle Prostitute,8
Principal Victoria,1000
New Yorker,13
Big Man,25
Stanley,3
Employee 2,2
Employee 3,13
Employee 1,7
The Japanese,7
Inmate,17
Jefferson,47
PS4 Army,4
Obese Lady,5
Transient Man 6,27
Gary Johnson's profile,7
Dominique and Zizi,1
DP Executive 2,8
DP Executive 3,24
DP Executive 4,3
DP Executive 5,6
DP Executive 6,17
Clyde Frog,21
Member 2,54
Bridon, Wendy,14
Host 1,58
Host 2,48
Saddam/Chris,7
Greeter,44
Nathan's Dad,5
Coon,702
All five quints in unison,5
Older Worker,21
Estella,148
Supporter 5,15
Priests,4
Supporter 3,7
Supporter 2,10
Supporter 1,39
A Quint,13
Jeff,219
Mel Gibson,42
Bill's hologram,17
Male,43
Fosse,89
A skier,7
Jesus,1029
Cartman Smurf,42
Ranger McFriendly,154
People,13
Ed,26
Elderly Passenger,12
Bros,1
Giant Douche,70
Brunet Trekker,32
Midnight Vampire,24
Police Radio,9
Doctor Pal,136
Lexus,137
Some Folks,1
O'Reilly,28
Chickadee-y,48
AAA Leader,39
Manson,269
Bebe's Mom,82
Kid 1,46
Kid 3,14
Citizen 2,6
Kid 5,3
Kid 4,36
Goat leader,18
Connelly,195
Mrs. McCormick,373
Inductee 2,2
Blond Agent,18
Lesbian 7,12
Lesbian 6,15
Lesbian 5,4
NAMBLA Leader,181
Rancher,176
Viewer 2,4
Lesbian 9,3
Mrs. Tucker,31
Gloria Allred,58
Officer Bob,3
Butters, Cartman,4
Howard,147
Pope Benedict,78
Zombie,4
Vacationer 1,22
Larry,339
Local Announcer 1,19
Large Woman,24
Rudy,26
Deck Hand,13
Boyfriend,30
Christina Aguilera monster,2
People's Army Leader,62
Ticket Salesman,113
Sarah McLachlan,65
K-10,37
A guest,7
Young Worker,23
Mrs. Feegan,49
Publisher 2,76
Publisher 1,77
Dental Floss,26
Two SWAT men,2
Crew, Stan,1
Female hippie,6
Adults,26
Country Singer,42
Mr. Yelman,36
Ramdu,7
Mr. T,5
Man 2, Woman 2,1
Trashman,11
Stan and Kenny,2
Hildog Fan,3
Judge 2,16
Judge 3,1
Male Louse,20
Judge 1,39
Numa Numa Guy,1
Greeley Team,4
Elise,104
Mr. Vladchick,9
Italian Cardinal,124
Postman,39
McDaniels,16
God,198
Ellen DeGeneres,45
Prime Minister,46
Douglas,2
Maintenance Guy,41
A Guard,3
R. West,24
Man with Foot on Head,116
Chamber of Farts Operator,24
Dale Earnhardt, Jr.,11
The Parents,24
Pink Hare,44
The Boys and The Brandos,1
Man 29,4
Allyson,138
John Travolta,49
Supporters,17
Kip,102
A man,12
Predator,10
Arab,26
David Letterman,35
Germany,15
Kim,17
Mayor McDaniels,553
Obese Man 2,8
Yanogapa 1,1
Center Judge,61
Kid,31
Ike Supporter,3
Charles Biggens,30
Yamal,11
Puerto Rican Player,7
Caller,31
M,30
Jakovasaur Kid 2,3
Best Buy Rep,25
Jimmy Kimmel,27
Chief,169
Blavius,135
Van Gelder, Mr. Mackey,20
Looter 4,3
Looter 3,4
Jeff Gordon,22
Mr. Hakeem,68
Both Kyles,1
Larry King,139
Musician 3,1
Musician 2,15
Choir Boy,34
Hazmat man,4
Thin Plumber,14
Stan/Kyle/ Cartman,3
Rumpertumskin,63
Bennigan's Chef,8
Blackjack Dealer,31
Lola,128
FOX 11 Anchor,32
Mrs. Streible,1
Miss Aliton,20
Mrs. Turner,66
Actors,56
A Member,3
Kenny, Stan, Cartman,2
Icarus,12
The Class,8
Emo Boy 2,12
Pirate Choir,6
Muslim,1
A Woman,38
Blonde PeTA Member,10
Some People,1
Jo,33
Jakov,209
Loogie,242
Various Folk,1
Hippies,23
Prostitute,5
Michelle,218
DiCaprio,96
Magic,96
Wife,96
Voguing Skier 2,8
Aunt Flo,86
The other kids,8
FDA Agent 1,2
Pioneer Paul,196
Butt Out!,31
The Colonel,119
Counselor,84
Diner 2,15
A pilot,4
Passenger,120
Lowes Pit Boss,12
Grammy,159
Demon 3,64
Rabbity,44
Orc,9
Staffer 2,32
Staffer 3,13
Singer (and backup singers),78
Staffer 1,23
Bishop 3,5
Stingray Announcer,34
Female,35
Chief of Security,85
Jakovasaur Girl,2
Robert Pooner,151
Blonde,164
Harold,29
AARP lookout,4
White Bitch,14
Field Reporter 3,50
Little Boy,8
A boy,2
Field Reporter 2,27
A Musician,6
Number 37,77
France,15
Cheesy Poofs Commercial,26
Naked Man,19
An old farmer,79
Mama,117
Muscleman Marc,35
Lolly,77
Nun,19
Talk Show Host,26
Premise Running Thin,1
Demon 1,84
The Other Boys,4
With Males,9
Colin,7
Patrick Duffy,11
Resident 8,18
Mr. Meryl,170
Three kids,7
Pope Francis,17
Terry,182
Resident 2,23
Al-Zawahri,38
A Doctor,17
Resident 1,63
Resident 6,9
Puff Daddy,94
Resident 4,75
Resident 5,10
King,66
Beavery,89
Judge 4,24
Abraham Lincoln,149
Porcupiney,39
Refugee Man 3,22
Black Woman,6
The Others,1
McGillicuddy,56
Eric Roberts,15
Optometrist,2
Kyle Broflovski,36
Refugees,3
R. Kelly,61
More Voices,2
Detective,226
Lamb Chop,42
Jason,141
Blaintologist,18
Chip,1
Orator 2,42
Orator 1,35
Nerd #1,185
New Mormon,8
Third Graders,6
Nerd #2,133
Brown Hare,3
Dawson,243
Howard Stern,100
Shades Vamp,9
Superman,42
Alton Brown,46
Male CPS Agent,48
Males,14
Kindergarten boy,6
Kyle, Stan, Cartman,1
Townspeople,6
Denver Poll Worker,25
Another kindergartner,3
Kyan,58
Clyde,776
Cheerleader 1,2
Frida,14
Mr. Torres,1
Paparazzo 6,11
Drummer,3
White Hare,2
George Bush,59
Ben Affleck,2
Mrs. Wyland,4
Janitor 2,3
Ticket Teller,18
OC Member 3,28
OC Member 2,10
OC Member 1,54
Purity Boy 2,15
Carl,36
Penis,10
Dahmer,56
Psychic,59
Women,11
American Male 2,9
American Male 3,3
Executive 1,82
Daughter,44
Kids at Finish Line,7
Blond Boy,2
Ms. Ellen,226
Middling Group,6
Cartman's Conscience,12
The other four,1
Donna,12
Tad's friends,2
Chief elder,185
Fan 1,20
Filmore's Supporters,1
Rachel,36
Demon,1
Board Rep,149
Cpt. Taylor,108
Mongolian,3
Stan/Kyle,7
Evil Kyle,44
Official 1,73
Official 3,17
Official 2,40
Italy,11
Japanese Man 3,6
Photographer,96
Charlotte Poll Worker,9
Scuzzlebutt,3
Cheney,4
Japanese Man 5,6
Japanese Man 4,3
Canyoner,26
Cartmans/Boys,32
Robot Guard,1
Cee Lo Green,25
Token's father,10
Foley,21
Refugee Man 1,6
Refugee Man 2,26
Esther,5
Jonas Brothers,131
Refugee Man 5,68
Associate,15
Otter 1,30
Human Wendy,30
Red Goth,113
Deputy 1,15
Cops,23
Deputy 2,2
Man 13,13
BSM-471,222
People in Audience,2
Transient Man 5,81
Transient Man 4,26
Phyllis,51
Chief Running Pinto (Tommy Chong in his stoner voice),15
Transient Man 1,29
Transient Man 3,23
Girl with Blue Vest,4
Cop,16
Cow,13
Fire Marshal,103
A Man,30
Jennifer Lopez,198
Promoter,91
Chorus,8
