Character, UniqueWords
Some people,4
Mr. Tucker,29
Nancy,61
Mr. Farkle,49
Hispanic Reporter,91
Sound Engineer,23
Bobby Flay,28
The Harrisons,5
Carter,40
Programmer 4,3
Assemblyman 1,13
Mrs. Melman,7
Crip 2,11
Programmer 1,2
Programmer 2,15
The TV,4
Bible Vendor,6
Millionaire 1,6
An Expert,32
Melita,38
Zipliner,1
Barack Obama,5
Programmer,10
Dennis,21
Operative,2
Nelson,186
Ed McMahon,15
Reeve,186
Random Voices,3
Roadie 2,8
Porsche,98
Agent 12,14
Agent 10,9
Agent 11,6
Celine, Terrance, Bob, Phillip, and people on the field,8
Mr. Turner,55
Fans,13
Tyler,25
Roadie,20
Ms. Crabtree,275
Cartman, Kyle, Kenny,2
Alias 3,8
Alias 2,10
Alias 1,26
Controller 1,15
Confederate Reenactors,1
Alias 4,9
Jersey Man 2,7
Lesbian 10,11
Paul Allen,20
Number 17,29
Mr. Hankey,608
Other acts,1
Marine,6
Goodell,93
BBC Anchor,27
Guard on Right,9
Dio,55
Boy #1,15
Boy #2,29
President Bush,100
Three Tortured Souls,3
Crowd members,4
BP Man 4,3
Guide 1,11
Thom,117
Billy,224
Bar Patron 2,19
Aslan,230
Man in Back,1
Head nurse,10
ESPN Announcer,13
Pirates,11
Kenny,1004
Millionaire Protesters,4
BP Man 1,9
OC,1
Kyle, Towelie,1
Teacher,197
Bradley,157
Lead Alien,38
Laborers,5
Geldon,5
T-Shirt Vendor,9
M. Night Shyalaman,38
Crip,16
Paparazzo 10,16
TSA Agent 1,34
President Obama,141
Stagehand,96
Weird Man,21
Gerald/Chris,3
Other Seniors,1
Stan, Kyle, Kenny, Cartman,2
Mr. Biggle,82
Toby,19
An Official,6
Isiah,26
Flight Attendant,133
Prosecutor,78
Other psychics,1
Mr. Streible,75
Lesbian 4,13
Chef, Victoria, Mackey,1
Jesse Jackson,67
Frank,244
Artist,13
Brett,96
Sixth Graders,8
Mephesto,640
The Three Spirits,5
Dr. Doom,7
Big Harry,72
The Kids,4
Attendant,47
Third Official,16
Boy,185
French Canadians,25
Elon Musk,69
Guests in line,1
Large Crip,5
Bill,278
Girl in Pink,110
People in Crowd,8
David,180
Bikers,7
Toss-A-Ball Operator,27
Head Waiter,30
Governor,192
HazMat official,10
Davis,42
Businessman,14
Michael Collins,50
Russia,6
Sheila, Gerald,7
Japanese Woman,9
Alvin,8
Bart,59
Ron,192
Older Louse,39
Rod,13
MJ's Hologram,15
Captain Bly,11
Roy,125
Mohawk Vamp,6
Falsetto,41
Pat O'Brien,40
Mr. Grazier,136
Mr. Bell,48
Captain,270
Leonardo DiCaprio,12
Mr. Stevenson,91
Man 9,65
Man 8,89
Beary,70
Scary Assistant,17
Case Worker,37
Man 1,473
Spy Angel,27
Both parents,1
Man 2,418
Man 5,133
Man 4,202
Man 7,123
Man 6,107
Hasselback,2
Michael Bay,51
Hula Dancers,9
A Dentist,2
Violet Hare,8
Cartman on Left,29
FC Pitcher,51
Bum 3,5
French Cardinal,24
Kitty,15
Megan,2
Cleric 1,8
Ugly Girl,2
Sports Reporter,13
Joe Jonas,26
Motel Clerk,31
Grandmama,95
Stinky,29
Policeman Brown,21
Security Guard 1,6
Bartender,67
Bus Driver,134
Mr. Casher,23
Patron with hat,13
Mr. Johnson,14
Gunsmith,57
Soloist,18
Foreman,61
New Yorkers,1
Large woman,18
Transient Man 2,19
Blacksmith,6
Wigger,25
O.J. Simpson,17
Star Wars Kid,21
Big Woman,21
Mayor McDaniels.,5
Kevin Harris,115
Shopper 12,4
NAMBLA Member,13
Kyle, Stan,4
Roulette Dealer,4
Boy #1*,25
Shvek,163
Grampa,202
Native paddler in vest,3
Shopper 11,3
Bum 8,1
Dr. Schwartz,65
Cruise,83
Dr. Roberts,159
Grandmother Mother,11
Florence,53
Confederate 1,1
Bob,158
Butters and the Freaks,48
Bum 4,1
Karl Rove,10
Black Vamp,93
A Page,3
Personnel,7
Nick Jonas,3
Townsperson 2,6
Steve Jobs,217
Mencia,63
Uncle Murray,7
Mrs. Appleby,37
Neely, Davis,2
Cartman's Side,1
An Officer,18
First Mate,12
Counselor Steve,9
Kyle/Stan,1
Voices,8
Sandy Cervix,103
Director 2,104
Director 3,97
Commissioner,1
Director 1,54
Mr. Mackey's Father,11
Director 7,17
Director 4,22
Director 5,35
TV,22
Director 8,13
Director 9,2
Prop. 10 Supporter,4
Agent Keen,49
Danica Patrick,20
Whispers,8
A Cowboy,19
Print Reporter,13
Fleetwood Mac,16
Mr. Donaldson,142
Principa Victoria,1
Marvin Marsh,4
Burly man,21
Customer,62
Neely,18
Tony Kornheiser,48
Perseus,65
Cartman on Right,5
Cast,34
Frankenstein Alien,29
Mousey,48
Munky,45
Queen Gertrude,13
Dentists,2
Emmett,13
Beavery Beaver,25
Clinic Doctor,166
Clean Garrison,77
Ruby Tucker,1
Michael Buffer,45
Webber,49
Guard 8,16
Guard 9,6
Blonde PeTA Member 2,25
Craig's Father,15
Mel,157
A voice,108
Guard 1,104
The boys,23
Guard 3,47
Guard 4,8
Guard 5,3
Guard 6,19
Guard 7,5
Lars,26
Man With Picket Sign,3
Henchman,4
Disfigured Country Singer,109
Coworker,3
Fan wearing #3,8
Scouts,15
Fonzie,13
Visitor Driver,1
Dispatcher 3,12
Betsy,157
Indian Ambassador,9
Apple Man 4,5
Elder Schwartz,28
Leprechaun,40
Gil,5
Robber 1,41
Robber 2,28
Robber 3,20
Robber 4,23
Apple Man 1,81
Bonds,7
Louse 3,3
Mr. Glughgogawk,1
Mall Bunny,58
Joint,35
A British person,45
Intruder,86
Sixth Grader,22
Nurse 1,6
Chinese kid,4
Hell Director,40
Canadian,4
A woman,12
A director,3
Clown,8
Tuong Lu Kim,367
Stan, Cartman,18
Mrs. Brooks,37
John Walsh,63
Vamps,2
Afro Ninja,23
Tad and friends,2
Ambassador,52
Computer Voice,22
Floating Man,1
Ethiopians,3
Woodpeckery,16
Mr. Brown,78
Kanye (backup singers),97
Manning,14
Resident Bishop,32
NAMBLA leader,77
SNN Correspondent,79
Partner,131
Cesar,263
A few Congressmen,5
Liane and Cartman,20
A Banana,9
White Chef,26
Gambler 3,11
Gambler 2,10
Gambler 1,10
Jerry Jones,7
Gambler 4,7
A Fangirl,4
Nurse,189
Mailman and Kids,30
Other Officers,10
Cartman, Butters,15
Jessica,39
Rescuer 2,28
Rescuer 3,13
Rescuer 1,44
Rescuer 6,5
Rescuer 4,6
Rescuer 5,5
Tucker,87
Boys,135
The Family,1
Everyone Else,3
Cartamn,6
Mrs.McCormick,36
Guest 1,2
Cavity Creeps,5
TV Newscaster,26
Marty,84
Publisher,69
Field Reporter 1,80
Official,145
Man in foreground,1
Photo Seller,16
Lead FBI agent,17
Professor Chaos,284
Surgeon-General,59
Stuart and wife, and Receptionist,1
Steve "Last Call",24
Referee 2,5
UPS Man,103
Some audience members,2
Dr. Phil,90
Other Students,1
The Tape,71
Aunt Jemima,43
Gerry's Daughters,1
TSA Agent 2,40
Michael Taylor,15
Staff,4
ALF Leader,108
Vet,57
Instructors,4
Biker 10,18
Doctor,831
Dan Snyder,162
Chief Joe,71
Robert,162
Princesses,26
Older Boy,85
Nick,35
Army Doctor,6
Paparazzo 11,6
Fan wearing #74,3
Paparazzo 12,12
A bishop,33
Ms. Garrison,89
Elder Carn,6
Dale,4
Toothbrush,13
Females,20
All Three,3
Bookie,15
Lady 2,14
Lady 1,47
Katherine,129
The Cotswolds,6
Susan92's profile,9
Yanogapa,1
Choir,107
Dr. Janus,301
The New Lyrics, part II,70
Bill Clinton,27
Co-Worker,2
Short Man,26
Richard Tweak,299
M.C.,147
Bee Alien,23
Protester 4,8
DOI 1,130
Mimsy,249
DOI 3,20
DOI 2,90
Protester 3,15
Fan wearing #82,3
Pirate Ghost 2,1
Captain Hindsight,234
Deery Deer,13
Darryl Weathers,299
Trucker,54
Mountie,10
Bearded PeTA Member,33
Mamsie,22
Nicole,59
Background Singers,6
Israeli,10
CNN Anchor,111
SNN Reporter,107
FBI Agent,114
Fire Chief,7
DP Executive 1,10
Dr. Tonton,37
Rider 2,4
Rider 1,14
Rabbi 3,22
Joline,51
Cop 2,22
Contestant,11
Lead Convict,20
Poor Mom,21
Hackman,76
Elderly Man 4,11
Autumn,89
Pink Monster,20
Stan and Jesus,4
Schwarzenegger,21
Elderly Man 2,24
Elderly Man 3,6
Old Monk,52
Elderly Man 9,12
Psycho Janus,19
Beast,12
With the Kennedys,8
Mr. Sanders,87
Taco Bell Exec,41
Celine,3
Walter,21
Cat Burglar,14
Cliff,70
Mother 1,10
Henrietta's Mom,26
Mother 2,16
Nathan,434
Trapper Keeper,16
Postum,176
Elderly Man 5,2
Laborer 5,32
Elderly Man 6,14
Ryan,133
SWAT rescuer Hansen,1
Rosie,14
Beefcake,66
Randy's profile,8
The Doctor,112
Elderly Man 1,15
Spectator,3
Female announcer,45
Shelley,34
Peg-leg,2
The Office,3
THC President,189
Bat Dad,59
The South Park boys,1
Salesman,54
Elderly Man 7,6
Centers,4
Another boy,2
Guard,190
Manymoons,44
Receptionist,308
Looter 2,9
Wise Man,45
Blond Member,17
Townsman 17,1
OC Members,17
Townsman 15,6
Townsman 14,2
Townsman 13,4
Townsman 12,1
Townsman 11,2
Townsman 10,2
Greeley Officer 2,5
Molly,1
Greeley Officer 1,19
Smith,231
Elder Garth,203
Alan,24
A British Person,259
Aide 1,195
Mr. Hat Actor (!),4
Aide 3,83
With Females,8
Hooker,4
Stan, Cartman, Kenny,6
Male Diner,30
Man in background,2
Sound man,40
Mark, Jenny,2
Mr. Foley,151
Cop 1,30
Beary Bear,39
Director,352
Kevern Zaksor,52
Stu,30
Shopper 13,7
Elderly Man,89
Will Smith,134
Pamphleteer,138
Runs with Premise,204
Volunteer,55
Kip's Dad,52
Mr. Tumnus,9
Tech 4,44
Tech 5,10
Tech 2,37
Tech 3,41
Tech 1,16
Rosie O'Donnell,88
Cat,9
Mrs. Joe,84
Mr. Kincade,228
Mother,85
Janitor/Farmer 1,94
Lady Judge,31
The Mayor,229
Obese woman,3
Goth Voice,14
Tall Goon,14
Sam,9
Most Senators,1
Dark Cub,8
Company rep,55
Chef and James Taylor,2
Kylie,6
Sailor,10
Mrs. Campbell,34
Uncle Budd,31
Security Guard,158
Moroni,74
Farmer,76
Patron 10,2
Steve Bischiotti,11
Mohammad,75
Townsman 9,7
Milly,31
Pat Sajak,79
Future Cartman,54
Spectator 1,15
Spectator 2,22
Grandma Marsh's profile,10
Cardinal Mallory,9
Chief Running Pinto,89
SWAT Officer 3,23
Wendy,1315
Billy's Mom,10
Shawna,82
Father Barnes,15
Cameraman,74
Blonde 2,7
Kyle, Stan, Butters,1
All three men,1
Tom Green,14
Terrance & Phillip,29
Blonde 3,1
German 1,6
Kids around Kenny,1
Tom Nelson,43
Denver citizens,1
Redneck,8
Baby,9
Cartman,8922
Nurse Bronski,74
Left Creature,1
Rob Reiner,379
Walter Cronkite,56
Canadians,143
Senator,28
Jimmy Buffet,4
Audience members,5
TV Voice,20
Ween,13
Ginger Boy,45
Kyle's Team,3
Leader Turkey,2
Sheila Broflovski,33
Robot Monkey,1
BUDS Man,35
Dreadlocked PeTA man,16
Ticket agent,12
Jesus' Producer,45
Bradley Biggle,7
AARP Members,2
Blond agent,1
Hyde,57
Park County,5
Mr. Circlovich,5
Black Man 2,6
Black Man 3,2
Elderly Man 8,12
Sondheim,75
Other Girls,1
Male 1,45
Audience Members,14
Jamie,26
Sound Man,1
Jeff White,28
Little Slave,14
Halfy,6
Elderly Voice,4
Two Elders,1
Boy with Red Scarf,4
Millie,48
Mr. Mackey, Principal Victoria,1
Dickinson,63
Honey Boo Boo,72
Goths,1
Petey/Boys,1
Coach 2,30
Michael Moore,16
Stuart and Mrs. McCormick,1
Some adults,2
Many Men,4
A Quarantine,7
Secret Service Leader,21
Tea Bag Participant,33
A Driver,12
Midget,36
COCKA-3,7
Other Soldiers,5
Prerecorded Voice,5
Steve Black,62
Tom and Mary,4
Lincoln,1
Little Vamp,12
Dawkins,4
Meredith,24
Solders,5
Av 3,7
Av 2,1
Elephant Man,74
Fat Cop,19
Some boys,1
Teen girl,33
Satan, Chris,1
Some Townsfolk,3
Nobunaga,9
Other Members,10
Ladies,1
Kanye West,4
Skunky,42
U.S. Army Official,43
Mrs. Crabtree,13
Rookie Guard,10
A Nun,2
Puffy the Bear,11
Petey,207
Michael Richards,1
Black Plumber,28
KKK Leader,112
HC drivers,1
Man 28,4
A Catfish,10
Melvin 2,8
Patsy Ramsey,56
Gay Lion,1
Coon's Friends,6
Engineer,12
Miner 4,6
Pat,191
Voice over,12
Richard,307
Miner 1,110
Lift Operator,10
Sixth Grade Leader,79
Xenu,3
Older kid,7
Man 24,4
Marcus,77
Randy and the Boys,2
Garrison's profile,5
Man in Vest,25
Top Girl,5
Pan,9
Lambtron,14
New Yorker 2,2
John,25
Carson replica,7
Miss Stevenson,187
Colleague 2,9
Blood,8
Lady Protester,21
Colleague 1,16
Man 21,4
Crewman 1,34
Crewman 2,24
Officer 8,15
Crewman 4,10
Crewman 5,7
Crewman 6,19
Man with No Limbs,7
Officer 3,116
Female Reporter 2,14
Officer 1,378
Man 23,4
Officer 7,61
Officer 6,25
Officer 5,70
Bald Knight,9
UAA Woman,35
Braided Crip,6
Cult Leader,69
McGuire,7
Stephen Stotch,27
Lumberjack,18
Kenny G.,26
Bouncer,60
Millionaire,13
Priest,207
Stan/Kyle/ Kenny,1
Horace,42
Heidi,114
Tommy,31
Becker,9
Boys 1/2,7
Cheerleaders,41
Sir Harrington,64
Jeff Arrando,20
Mr. Freely,54
TV Crew Director,15
An Older Girl,3
Iraqi General,66
Red Cross Chick,16
Barbardy,10
Ginger 1,48
Donald,7
Ginger 3,17
Ginger 4,13
Cochran,150
Poe,154
Bishop,160
Raccoony,46
Everybody,34
Aging Hippie Liberal Douche,69
Sonny,27
With Boys,8
Blonde Mother,16
Townsman 16,7
Paris,269
Dreadlocked PeTA Man,9
Mormon 3,1
Mr. Adler,257
SS Agent,20
Ringtone,1
UAA Leader,138
Man with Afro,2
Hatoyama,26
Diner 4,7
Diner 3,7
Phil Collins,171
Stallone,13
Zazul,41
Man in audience,3
Big Blonde,8
Goat,10
Pops,37
Miss Information,160
Male Voice,2
Pimp 2,49
Artsy Man,11
Vanessa,28
Jack Brolin,39
Kris,15
Gary Sr., Karen,2
Kenny, Stan,1
BBC Announcer,5
Resident 9,19
Mom,136
Greeley Officer 3,29
Groundskeeper,15
Troupe,7
Dispatcher,16
Other NAMBLA Men,5
Owners,1
Sister Anne,201
Expert 8,2
Stella,154
Cartman and Kyle,2
Boy in Blue Vest,84
Resident 3,32
Expert 1,84
FBI Leader,33
Expert 3,17
Expert 4,122
Expert 5,2
Expert 6,18
Expert 7,24
Pastor Phillips,50
You And Me, Girl,40
Sinéad,19
Maury,257
Wyoming Coach,4
Brad Morgan,82
Resident 7,4
Police Captain,43
Tom Shane,4
Mr. Mackey,1881
Expert 2,50
Towelie Clone,2
Sarah's Mom,21
Buddha,53
Pizza Hut Exec,22
Draco,6
Pat the Hammer,18
Polly Prissypants,109
Kyle, Butters, Tweek,1
Jogger,14
Ted,19
The Cubs,7
Other People,1
Techs,1
Lao Tzu,14
Lawrence,52
Two Small Voices,1
Kal,43
Jenkins,31
Redneck 23,3
Commentator,190
Boy in glasses,6
Unkempt Garrison,49
Nurse 2,11
Mr. Tuong,23
Reporter Chris,100
Toolshed,240
Butt Out! Lady,31
Annoucer,18
Patron 8,27
Filmore,104
The Boys (except Cartman) and Dr. Phillips,4
Tough Boy 3,11
Representative,31
Patron 1,49
Patron 2,44
DMV Official,32
Volunteer 1,10
Patron 5,3
Patron 6,18
Patron 7,1
Pirate Ghosts,2
Wrangler,5
Mr. Peters,87
Yates,597
Hall Monitor,16
Korashki,52
AARP leader,47
Gram'ma,8
Hooded Figure,61
Tony Hayward,155
Reenactor,3
Soldier 5,25
Damned Soul,3
Mr. Adams,238
Anchor,829
Soldier 1,45
Maggie,76
Designer,34
Rancid,17
Mephesto Tryout,14
Cartman, Choir,21
ATF Leader,24
Umpire,33
Bums,5
Other Townsfolk,1
Desk Officer,2
Other Kids,7
Comrade 1,10
Comrade 2,8
Cows,4
Teen MC,49
Bum 1,3
Chauffeur,29
Mr. Stevens,17
Bum 2,3
Bum 5,1
Crowd,134
Bum 7,9
Bum 6,1
Bum 9,7
The Ghost of Human Kindness,135
Beat-up Boy,1
Girls,65
Big Gay Al,403
Mr. Harrison,8
With Choir,45
An officer,24
Squirt,34
Barbrady Actor,30
El Presidente,151
Tough Guy 1,119
Balding Man,163
With the Damned,14
Tiger Woods,15
Farmers,1
The Scenes,51
Some Guy,1
Middle Dwarf,13
Sergeant Yates,8
Osama bin Laden,98
Snooki,9
Flora,11
Center,33
Redneck 19,10
Gerald Broflovski,14
Alan Jackson,70
TiVo,4
Guest 4,1
Guest 3,4
Guest 2,7
Sheep,1
Richardson,36
Cartman, Stan,2
Inductee 1,2
Redheaded Prostitute,6
Linda Black,25
Token, Kyle, Stan,2
Medicine Man,20
Rob Schneider,7
Shlomo,17
Toodee,6
Kyle, Ms. Crabtree,1
Mr. Wyland,206
General,587
Bucky Bailey,126
Demonius,48
Poor Girl,10
Minstrel,65
Chad's Dad,7
South Park Men,1
Both Parents,2
Yanogapa 2,1
Greg Nimins,83
Craig's father, Tom,22
Tour Guide 2,36
News 4 Anchor,67
Secret Service Agent,5
Tech 7,11
Two Guys,2
Garrison 1,12
MJ's hologram,70
Steven Spielberg,191
Talent Scout,59
Hamlet,103
Mob,15
Mr. Kim,271
Mrs. Tweek,59
Ashley,9
Chris Holt,72
Incredibly Obese Black Man,11
Doctor's assistant,2
Elderly Woman 4,11
Priest 4,6
Elderly Woman 6,10
Elderly Woman 7,6
Priest 1,66
Elderly Woman 1,20
Elderly Woman 2,9
Elderly Woman 3,7
HBC President,134
Dahmer, Gacy,1
Mr. Dawkins,227
Bear,1
White Bouncer,9
Photographer 2,12
Black Official,29
Catatafish,133
Miley Cyrus,27
Postem,17
Photographer 4,3
Reporter 5,9
Reporter 4,39
Reporter 6,3
Reporter 1,126
Reporter 3,128
Reporter 2,230
Member 1,119
Japanese woman,35
Huddle,1
Judge Julie,130
Fred Savage,2
Man in Barrel,4
Woodsy Owl,24
Funbot,5
Officer Barbardy,12
Audience,45
Cheesy Poof Cartman,1
Kylie's Mom,13
Manuel,3
Female singer,42
Mitchell,218
Angel 9,6
Neighbors,1
Strawberry Shortcake,7
Cartman, Kyle,3
Garrison 2,12
Man In Wheelchair,2
Mr. Feegan,99
Larger Group,11
Two kids,1
Herbert Garrison,293
Pricipal Victoria,32
Elderlay man,1
Bill Gates,18
R. Booth,13
Wally B.,7
Funnybot,209
Mike,227
Travolta,47
Other Execs,5
Disciples vocalist,7
Tour Guide,322
UAA 2,5
UAA 3,16
Clyde, Ike,2
Marcia,8
Older Woman,13
Seaman,81
Odd Boy,41
Dr. Phillips,151
Ethiopian Woman,3
Zombie Mortician,3
Angel 3,42
FC Batter,20
Uncle Corey,4
Matt,137
Other Vamps,1
Blanket,150
Broker,28
Mr. Hardly,96
Fan,3
Fan 2,12
Cowlick Vampire,10
Hobo,24
Newscaster,147
Gerry,81
FBI Negotiator,6
Reginald,10
The Human Kite,40
Butt Out!'s Kyle,36
Redneck 10,12
Officer,257
Looter 1,4
Al Gore,358
Bar Patron 1,26
Emperor Hirohito,36
Ms. McCormick,20
BP Man 2,5
BP Man 3,14
Schwartz,34
Attendant 1,38
Nathan's Mom,52
Mr. Denkins,11
Supporter 4,2
Agents,2
Contestant 2,8
Firefighter,8
Pedo 7,5
Laborer 2,30
Laborer 3,5
Brad,3
Laborer 1,85
Laborer 4,13
Oprah,241
Chief Aide,95
Laertes,80
Mandy,13
The Ramseys, O.J., Condit,5
Man With No Face,35
Shopper 10,5
Jim Irsay,37
Townsperson 1,7
Editor,29
Umpire 2,31
Another Cardinal,29
Mr. Mathers,18
Jonathan,249
Clyde, Kenny,1
The Coon,352
Mr. Garrett,94
FC Announcer,28
Eugene Levy,8
Buff Crip,104
Vendor,5
Standing Patron,13
Rick Watts,12
Redneck 15,5
Michael Douglas,1
Mrs. Tenorman,22
Female Psychic,72
Terrorist #1,4
OC Leader,60
An Elderly Woman,6
Flight attendant,28
Mrs Cartman,1
Kids around Timmy,1
Paramedic 1,10
Gary,357
Robot,20
Phillip Stand-in,49
Ms.McCormick,2
Patron 3,37
Milo,11
Alanis Morissette,2
Cartman/ Kenny,1
Thin Cop,41
Johnny,16
Persians,1
Students,4
Patron 4,2
Townswoman,19
David Duchovny,3
Japan,36
Uncle Jimbo,51
Mayor,926
Army Official,40
Chief Elder,29
Kid Magician,1
Karin,36
Jambu,130
SP Adults,1
TupperWear,38
Man in Brown Shirt,8
Foxy,41
Iraqi,10
Gnome 5,18
Gnome 4,5
Gnome 3,7
Gnome 2,85
Gnome 1,46
Researcher 1,117
Charlie Rose,129
Purity Boy 1,39
Human Kite,181
Mr. Pirrip,23
Recruits,1
Tong Leader,167
Man With Grey Hair,29
Kid #2,7
Cashier,174
Purity Boy 3,11
Driver 3,18
Ghetto Avenue Boys,9
Lab Tech 1,39
Dr. Shay,70
Spiky Vampire,27
Summit Host,14
Child,7
Lice,2
Brunet,149
Vocalist,6
Randy, Sharon,5
Marklar dispatcher,7
Mr.Mackey,10
The Gintses,1
Oprah Winfrey,46
Older man,145
Witches,10
Gang Members,29
Sony President,58
Another Ambassador,26
Bob Saget,140
Madame Foreperson,23
Policeman 1,31
Jenny,118
Specialist 2,13
The Team,2
Tom Johansen,28
Greeley Batter,1
Kelly Pinkertonstinfurter,1
Lion 1,11
Lion 2,17
The Other Members,1
Rabbi,66
Mr. Jarvis,30
Right Creature,3
Purple Hare,1
DP Executives,4
Priest Maxi,549
Female Activist,4
Polly,69
Vice President,98
British Delegate,20
Garth,8
Galeed,77
Elderly woman,3
John Warzog,74
Denver Catcher,9
American Male 1,11
Construction Worker,37
Sergeant,109
Anchorman Tom,98
Doctor 1,21
Tardy Man,11
Future Stan,170
Mr. Harris,31
Moderator,37
Mr. Donovan,83
Miss Travis,15
Younger man,40
Cleric 2,15
Gordon Stoltski,54
Centers and Right,12
Farmer Friend 2,44
Denver Cop,9
Player 4,5
Franklin,56
Old Man 2,23
Pedo 2,13
Pedo 3,9
Pedo 4,2
Pedo 5,1
Pedo 6,3
Stage hand,3
Crab Man 2,33
Crab Man 3,21
Deery,47
Cleric 3,32
Lesbian 8,3
Bishop 2,3
Bishop 1,1
Uncle Stinky,9
Side Judge,7
Liane,1106
Shake Weight,170
Morgan,34
Mr. Pratt,42
Congressman,1
Cardinal Mahoney,82
Fuhrman,57
Page,37
Stewart,111
Saddam Hussein,83
Coach,296
Proctologist,53
Lion-head Alien,24
The three men,2
Aunt Nellie,41
Kyle Two,308
CEO,26
Fat Man,31
Yimenez,9
Lady Member,133
Doctor 2,67
Assistant 1,4
